packName,color,text,pick,official
CAH Base Set,white,An unwanted pregnancy.,,true
CAH Base Set,white,An uppercut.,,true
CAH Base Set,white,Anal beads.,,true
CAH Base Set,white,Announcing that I am about to cum.,,true
CAH Base Set,white,Another goddamn vampire movie.,,true
CAH Base Set,white,Another surprising Osprey crash.,,true
CAH Base Set,white,Anything that comes out of Prince Philip's mouth.,,true
CAH Base Set,white,Apologizing.,,true
CAH Base Set,white,Arnold Vosloo.,,true
CAH Base Set,white,Asians who aren't good at math.,,true
CAH Base Set,white,Assless chaps.,,true
CAH Base Set,white,Attitude.,,true
CAH Base Set,white,Auschwitz.,,true
CAH Base Set,white,Australia.,,true
CAH Base Set,white,Authentic Mexican cuisine.,,true
CAH Base Set,white,Autocannibalism.,,true
CAH Base Set,white,AXE Body Spray.,,true
CAH Base Set,white,Badger culling.,,true
CAH Base Set,white,Ball-by-ball commentary from Richie Benaud.,,true
CAH Base Set,white,Balls. Big balls. Really big balls.,,true
CAH Base Set,white,Bananas in Pajamas.,,true
CAH Base Set,white,Bananas.,,true
CAH Base Set,white,Barack Obama.,,true
CAH Base Set,white,"Barely making $25,000 a year.",,true
CAH Base Set,white,Basic trainees.,,true
CAH Base Set,white,BATMAN!,,true
CAH Base Set,white,BATMAN!!!,,true
CAH Base Set,white,Battlefield amputations.,,true
CAH Base Set,white,Becoming a blueberry.,,true
CAH Base Set,white,Bees?,,true
CAH Base Set,white,Being a busy adult with many important things to do.,,true
CAH Base Set,white,Being a dick to children.,,true
CAH Base Set,white,Being a dinosaur.,,true
CAH Base Set,white,Being a hideous beast that no one could love.,,true
CAH Base Set,white,Being a motherfucking sorcerer.,,true
CAH Base Set,white,Being a woman.,,true
CAH Base Set,white,Being able to talk to elephants.,,true
CAH Base Set,white,Being back-to-back World War Champions!,,true
CAH Base Set,white,Being black.,,true
CAH Base Set,white,Being Canadian.,,true
CAH Base Set,white,Being fabulous.,,true
CAH Base Set,white,Being fat and stupid.,,true
CAH Base Set,white,Being hunted like a fox.,,true
CAH Base Set,white,Being marginalised.,,true
CAH Base Set,white,Being marginalized.,,true
CAH Base Set,white,Being on fire.,,true
CAH Base Set,white,Being rich.,,true
CAH Base Set,white,Being white.,,true
CAH Base Set,white,Benedict Cumberbatch.,,true
CAH Base Set,white,Bestiality.,,true
CAH Base Set,white,Bill Nye the Science Guy.,,true
CAH Base Set,white,Bingeing and purging.,,true
CAH Base Set,white,Bio-engineered assault turtles with acid breath.,,true
CAH Base Set,white,Bisexuality.,,true
CAH Base Set,white,Bitches.,,true
CAH Base Set,white,Black people.,,true
CAH Base Set,white,Bling.,,true
CAH Base Set,white,Blood fisting,,true
CAH Base Set,white,"Blood, toil, tears, and sweat.",,true
CAH Base Set,white,Blowing my boyfriend so hard he shits.,,true
CAH Base Set,white,Blowing up Parliament.,,true
CAH Base Set,white,"Boat people; half boat, half human.",,true
CAH Base Set,white,Bogies.,,true
CAH Base Set,white,"Bond, James Bond.",,true
CAH Base Set,white,Bono.,,true
CAH Base Set,white,Booby-trapping the house to foil burglars.,,true
CAH Base Set,white,Boogers.,,true
CAH Base Set,white,Bosnian chicken farmers.,,true
CAH Base Set,white,Braiding three penises into a Curly Wurly.,,true
CAH Base Set,white,Braiding three penises into a licorice twist.,,true
CAH Base Set,white,Braiding three penises into a Twizzler.,,true
CAH Base Set,white,Breaking out into song and dance.,,true
CAH Base Set,white,Brexit.,,true
CAH Base Set,white,Britney Spears at 55.,,true
CAH Base Set,white,Brown people.,,true
CAH Base Set,white,Bubble butt bottom boys.,,true
CAH Base Set,white,Buckfast Tonic Wine.,,true
CAH Base Set,white,Bullshitting my ass off.,,true
CAH Base Set,white,Burning down the White House.,,true
CAH Base Set,white,Buying the right toothbrush cup for my lifestyle.,,true
CAH Base Set,white,Canada: America's Hat.,,true
CAH Base Set,white,Canadian Netflix.,,true
CAH Base Set,white,Canned tuna with extra dolphin.,,true
CAH Base Set,white,Capturing Newt Gingrich and forcing him to dance in a monkey suit.,,true
CAH Base Set,white,Cardi B.,,true
CAH Base Set,white,Cards Against Humanity.,,true
CAH Base Set,white,Cashed-up bogans.,,true
CAH Base Set,white,Casually suggesting a threesome.,,true
CAH Base Set,white,Catapults.,,true
CAH Base Set,white,Centaurs.,,true
CAH Base Set,white,Chainsaws for hands.,,true
CAH Base Set,white,Charisma.,,true
CAH Base Set,white,Cheating in the Paralympics.,,true
CAH Base Set,white,Cheating in the Special Olympics.,,true
CAH Base Set,white,Cheeky bum sex.,,true
CAH Base Set,white,Chemical weapons.,,true
CAH Base Set,white,Child abuse.,,true
CAH Base Set,white,Child beauty pageants.,,true
CAH Base Set,white,Children on leashes.,,true
CAH Base Set,white,Chivalry.,,true
CAH Base Set,white,Christopher Walken.,,true
CAH Base Set,white,Chundering into a kangaroo's pouch.,,true
CAH Base Set,white,Chunks of dead backpacker.,,true
CAH Base Set,white,Chunks of dead hitchhiker.,,true
CAH Base Set,white,Chunks of dead prostitute.,,true
CAH Base Set,white,Chutzpah.,,true
CAH Base Set,white,Civilian casualties.,,true
CAH Base Set,white,Classist undertones.,,true
CAH Base Set,white,"Clive Palmer's soft, shitty body.",,true
CAH Base Set,white,Clubbing baby seals.,,true
CAH Base Set,white,Coat hanger abortions.,,true
CAH Base Set,white,Cockasaurus rex: the horniest dinosaur of them all.,,true
CAH Base Set,white,Cockfights.,,true
CAH Base Set,white,College.,,true
CAH Base Set,white,Committing suicide.,,true
CAH Base Set,white,Completely unwarranted confidence.,,true
CAH Base Set,white,Concealing a boner.,,true
CAH Base Set,white,Concealing an erection.,,true
CAH Base Set,white,Consensual sex.,,true
CAH Base Set,white,Consultants.,,true
CAH Base Set,white,Contagious face cancer.,,true
CAH Base Set,white,Converting to Islam.,,true
CAH Base Set,white,Cookie Monster devouring the Eucharist wafers.,,true
CAH Base Set,white,Copping a feel.,,true
CAH Base Set,white,Cottaging.,,true
CAH Base Set,white,Count Chocula.,,true
CAH Base Set,white,Court-ordered rehab.,,true
CAH Base Set,white,Covering myself with Parmesan cheese and chili flakes because I am pizza.,,true
CAH Base Set,white,Crazy hot cousin sex.,,true
CAH Base Set,white,Creed.,,true
CAH Base Set,white,Crippling debt.,,true
CAH Base Set,white,Crucifixion.,,true
CAH Base Set,white,Crumbs all over the bloody carpet.,,true
CAH Base Set,white,Crumbs all over the god damn carpet.,,true
CAH Base Set,white,Crumpets with the Queen.,,true
CAH Base Set,white,Crystal meth.,,true
CAH Base Set,white,Cuddling.,,true
CAH Base Set,white,Cumming deep inside my best bro.,,true
CAH Base Set,white,Customer service representatives.,,true
CAH Base Set,white,Cybernetic enhancements.,,true
CAH Base Set,white,Dad's funny balls.,,true
CAH Base Set,white,Daddies Brown Sauce,,true
CAH Base Set,white,Daddies® Brown Sauce.,,true
CAH Base Set,white,Daddy issues.,,true
CAH Base Set,white,Daddy's credit card.,,true
CAH Base Set,white,Daniel Radcliffe's delicious arsehole.,,true
CAH Base Set,white,Daniel Radcliffe's delicious asshole.,,true
CAH Base Set,white,Danny DeVito.,,true
CAH Base Set,white,Dark and mysterious forces beyond our control.,,true
CAH Base Set,white,Darth Vader.,,true
CAH Base Set,white,Date rape.,,true
CAH Base Set,white,Dave Matthews Band.,,true
CAH Base Set,white,David Bowie flying in on a tiger made of lightning.,,true
CAH Base Set,white,David Cameron.,,true
CAH Base Set,white,Dead babies.,,true
CAH Base Set,white,Dead birds everywhere.,,true
CAH Base Set,white,Dead parents.,,true
CAH Base Set,white,Deflowering the princess.,,true
CAH Base Set,white,Dental dams.,,true
CAH Base Set,white,Denying sex to play video games.,,true
CAH Base Set,white,Destroying the evidence.,,true
CAH Base Set,white,Dick Cheney.,,true
CAH Base Set,white,Dick fingers.,,true
CAH Base Set,white,Dick pics.,,true
CAH Base Set,white,Dining with cardboard cutouts of the cast of Friends.,,true
CAH Base Set,white,Dirty nappies.,,true
CAH Base Set,white,Disco Inferno.,,true
CAH Base Set,white,Diversity.,,true
CAH Base Set,white,Dogging.,,true
CAH Base Set,white,Doin' it in the butt.,,true
CAH Base Set,white,Doin' it up the bum.,,true
CAH Base Set,white,Doing a shit in Pudsey Bear's eyehole.,,true
CAH Base Set,white,Doing crimes.,,true
CAH Base Set,white,Doing it in the butt.,,true
CAH Base Set,white,Doing the right thing.,,true
CAH Base Set,white,Domino's™ Oreo™ Dessert Pizza.,,true
CAH Base Set,white,Don Cherry's wardrobe.,,true
CAH Base Set,white,Donald J. Trump.,,true
CAH Base Set,white,Donald Trump's deleted tweets.,,true
CAH Base Set,white,Double rainbows.,,true
CAH Base Set,white,Douchebags on their iPhones.,,true
CAH Base Set,white,"Dr. Martin Luther King, Jr.",,true
CAH Base Set,white,Drinking alone.,,true
CAH Base Set,white,Drinking out of the toilet and eating garbage.,,true
CAH Base Set,white,Drinking out of the toilet and eating rubbish.,,true
CAH Base Set,white,Dropping a baby down the dunny.,,true
CAH Base Set,white,Dropping a chandelier on your enemies and riding the rope up.,,true
CAH Base Set,white,Drowning the kids in the bathtub.,,true
CAH Base Set,white,Druids.,,true
CAH Base Set,white,Drum circles.,,true
CAH Base Set,white,Dry heaving.,,true
CAH Base Set,white,Dwarf tossing.,,true
CAH Base Set,white,"Dwayne ""The Rock"" Johnson.",,true
CAH Base Set,white,Dying but miraculously getting brought back to life.,,true
CAH Base Set,white,Dying of dysentery.,,true
CAH Base Set,white,Dying.,,true
CAH Base Set,white,Eastern European Turbo-Folk music.,,true
CAH Base Set,white,Eating a hard boiled egg out of my husband's arsehole.,,true
CAH Base Set,white,Eating a hard boiled egg out of my husband's asshole.,,true
CAH Base Set,white,Eating all of the cookies before the AIDS bake-sale.,,true
CAH Base Set,white,Eating an albino.,,true
CAH Base Set,white,Eating the last known bison.,,true
CAH Base Set,white,Eating too much of a lamp.,,true
CAH Base Set,white,Ecstasy.,,true
CAH Base Set,white,Ed Balls.,,true
CAH Base Set,white,Edible underpants.,,true
CAH Base Set,white,Edible underwear.,,true
CAH Base Set,white,Egging an MP.,,true
CAH Base Set,white,Elderly Japanese men.,,true
CAH Base Set,white,Electricity.,,true
CAH Base Set,white,Embryonic stem cells.,,true
CAH Base Set,white,Emerging from the sea and rampaging through Tokyo.,,true
CAH Base Set,white,Emma Watson.,,true
CAH Base Set,white,Emotions.,,true
CAH Base Set,white,England.,,true
CAH Base Set,white,Erectile dysfunction.,,true
CAH Base Set,white,Establishing dominance.,,true
CAH Base Set,white,Eternal awesomeness.,,true
CAH Base Set,white,Ethnic cleansing.,,true
CAH Base Set,white,Eugenics.,,true
CAH Base Set,white,Euphoria™ by Calvin Klein.,,true
CAH Base Set,white,Exactly what you'd expect.,,true
CAH Base Set,white,Excalibur.,,true
CAH Base Set,white,Exchanging pleasantries.,,true
CAH Base Set,white,Executing a hostage every hour.,,true
CAH Base Set,white,Existentialists.,,true
CAH Base Set,white,Exorcism.,,true
CAH Base Set,white,Expecting a burp and vomiting on the floor.,,true
CAH Base Set,white,Explaining how vaginas work.,,true
CAH Base Set,white,Explosions.,,true
CAH Base Set,white,Extremely tight jeans.,,true
CAH Base Set,white,Extremely tight pants.,,true
CAH Base Set,white,Extremely tight trousers.,,true
CAH Base Set,white,Facebook.,,true
CAH Base Set,white,Fading away into nothingness.,,true
CAH Base Set,white,Faffing about.,,true
CAH Base Set,white,Faith healing.,,true
CAH Base Set,white,Fake tits.,,true
CAH Base Set,white,FALCON PUNCH!!!,,true
CAH Base Set,white,Famine.,,true
CAH Base Set,white,Fancy Feast®.,,true
CAH Base Set,white,Farting and walking away.,,true
CAH Base Set,white,Farting into your petticoats and wafting it at Lord Gregory.,,true
CAH Base Set,white,Fear itself.,,true
CAH Base Set,white,Feeding Rosie O'Donnell.,,true
CAH Base Set,white,Fellowship in Christ.,,true
CAH Base Set,white,Fiery poops.,,true
CAH Base Set,white,Fiery poos.,,true
CAH Base Set,white,Figgy pudding.,,true
CAH Base Set,white,Filling my briefcase with business stuff.,,true
CAH Base Set,white,Filling my son with spaghetti.,,true
CAH Base Set,white,Filling Sean Hannity with helium and watching him float away.,,true
CAH Base Set,white,Finger painting.,,true
CAH Base Set,white,Fingering.,,true
CAH Base Set,white,Firing a rifle into the air while balls deep in a squealing hog.,,true
CAH Base Set,white,Fitting all your blongings into a seabag.,,true
CAH Base Set,white,Five litres of Special Brew.,,true
CAH Base Set,white,Five-Dollar Footlongs™.,,true
CAH Base Set,white,Flash flooding.,,true
CAH Base Set,white,Flavored condoms.,,true
CAH Base Set,white,Flesh-eating bacteria.,,true
CAH Base Set,white,Flightless birds.,,true
CAH Base Set,white,Flying saucers,,true
CAH Base Set,white,Flying sex snakes.,,true
CAH Base Set,white,Forced sterilisation.,,true
CAH Base Set,white,Forced sterilization.,,true
CAH Base Set,white,Foreskin.,,true
CAH Base Set,white,Forgetting the Alamo.,,true
CAH Base Set,white,Former President George W. Bush.,,true
CAH Base Set,white,Four Loko.,,true
CAH Base Set,white,Fox News.,,true
CAH Base Set,white,Fragile masculinity.,,true
CAH Base Set,white,Free samples.,,true
CAH Base Set,white,Friction.,,true
CAH Base Set,white,Friendly fire.,,true
CAH Base Set,white,Friends who eat all the snacks.,,true
CAH Base Set,white,Friends who eat all your snacks.,,true
CAH Base Set,white,Friends with benefits.,,true
CAH Base Set,white,Frolicking.,,true
CAH Base Set,white,Front butt.,,true
CAH Base Set,white,Fucking my sister.,,true
CAH Base Set,white,Fucking the weatherman on live television.,,true
CAH Base Set,white,Full frontal nudity.,,true
CAH Base Set,white,Funky fresh rhymes.,,true
CAH Base Set,white,Gandalf.,,true
CAH Base Set,white,Gandhi.,,true
CAH Base Set,white,Garth Brooks.,,true
CAH Base Set,white,Gary Coleman.,,true
CAH Base Set,white,Gary Glitter.,,true
CAH Base Set,white,Gay animals.,,true
CAH Base Set,white,Gay conversion therapy.,,true
CAH Base Set,white,Geese.,,true
CAH Base Set,white,Genetically engineered super-soldiers.,,true
CAH Base Set,white,Genghis Khan.,,true
CAH Base Set,white,Genital piercings.,,true
CAH Base Set,white,Gentleman's Relish®.,,true
CAH Base Set,white,Genuine human connection.,,true
CAH Base Set,white,German Chancellor Angela Merkel.,,true
CAH Base Set,white,German dungeon porn.,,true
CAH Base Set,white,Germans on holiday.,,true
CAH Base Set,white,Getting a DUI on a Zamboni.,,true
CAH Base Set,white,Getting crushed by a vending machine.,,true
CAH Base Set,white,Getting cummed on.,,true
CAH Base Set,white,Getting drugs off the street and into my body.,,true
CAH Base Set,white,Getting drunk on mouthwash.,,true
CAH Base Set,white,Getting fingered.,,true
CAH Base Set,white,Getting into a pretty bad car accident.,,true
CAH Base Set,white,"Getting married, having a few kids, buying some stuff, retiring to Florida, and dying.",,true
CAH Base Set,white,"Getting married, having a few kids, buying some stuff, retiring to Queensland, and dying.",,true
CAH Base Set,white,"Getting married, having a few kids, buying some stuff, retiring to the south of France, and dying.",,true
CAH Base Set,white,Getting naked and watching CBeebies.,,true
CAH Base Set,white,Getting naked and watching Nickelodeon.,,true
CAH Base Set,white,Getting naked and watching Play School.,,true
CAH Base Set,white,Getting pregnant again.,,true
CAH Base Set,white,Getting really high.,,true
CAH Base Set,white,Getting so angry that you pop a boner.,,true
CAH Base Set,white,Getting so angry that you pop a stiffy.,,true
CAH Base Set,white,"Getting wed, having a few kids, taking some pictures, retiring to the south of France, and dying.",,true
CAH Base Set,white,Ghosts.,,true
CAH Base Set,white,Girls who shouldn't go wild.,,true
CAH Base Set,white,Girls.,,true
CAH Base Set,white,Giving 110%.,,true
CAH Base Set,white,Giving birth to the Antichrist.,,true
CAH Base Set,white,Gladiatorial combat.,,true
CAH Base Set,white,Glassing a wanker.,,true
CAH Base Set,white,Glenn Beck being harried by a swarm of buzzards.,,true
CAH Base Set,white,Glenn Beck catching his scrotum on a curtain hook.,,true
CAH Base Set,white,Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts.,,true
CAH Base Set,white,Glenn Beck.,,true
CAH Base Set,white,Global warming.,,true
CAH Base Set,white,Gloryholes.,,true
CAH Base Set,white,Goats eating cans.,,true
CAH Base Set,white,Goblins.,,true
CAH Base Set,white,God.,,true
CAH Base Set,white,GoGurt®.,,true
CAH Base Set,white,Going an entire day without masturbating.,,true
CAH Base Set,white,Going around sniffing people's armpits.,,true
CAH Base Set,white,Golden showers.,,true
CAH Base Set,white,"Good-natured, fun-loving Aussie racism.",,true
CAH Base Set,white,Grandma.,,true
CAH Base Set,white,Grandpa's bald spot.,,true
CAH Base Set,white,Grassroots support,,true
CAH Base Set,white,Grave robbing.,,true
CAH Base Set,white,Growing a pair.,,true
CAH Base Set,white,Guys who don't call.,,true
CAH Base Set,white,Haggis.,,true
CAH Base Set,white,Half a kilo of pure China White heroin.,,true
CAH Base Set,white,Half-assed foreplay.,,true
CAH Base Set,white,Harry Potter erotica.,,true
CAH Base Set,white,Have some more kugel.,,true
CAH Base Set,white,Having a Golden Gaytime.,,true
CAH Base Set,white,Having a penis.,,true
CAH Base Set,white,Having a shag in the back of a ute.,,true
CAH Base Set,white,Having anuses for eyes.,,true
CAH Base Set,white,Having big dreams but no realistic way to achieve them.,,true
CAH Base Set,white,Having sex for the first time.,,true
CAH Base Set,white,Having sex too soon after giving birth.,,true
CAH Base Set,white,Having sex with every man in Winnipeg.,,true
CAH Base Set,white,Having sloppy sex as your dog watches.,,true
CAH Base Set,white,Heartwarming orphans.,,true
CAH Base Set,white,Heath Ledger.,,true
CAH Base Set,white,Helplessly giggling at the mention of Hutus and Tutsis.,,true
CAH Base Set,white,"Her Majesty, Queen Elizabeth II.",,true
CAH Base Set,white,"Her Royal Highness, Queen Elizabeth II.",,true
CAH Base Set,white,Heritage minutes.,,true
CAH Base Set,white,hermaphroditical Italian pictures,,true
CAH Base Set,white,Heroin.,,true
CAH Base Set,white,Heteronormativity.,,true
